hip_pitch_delta,knee_pitch_delta,ankle_pitch_delta,joint_delta_l2,right_hip_pitch,right_knee_pitch,right_ankle_pitch,left_hip_pitch,left_knee_pitch,left_ankle_pitch,com_x,com_y,com_z,support_x_min,support_x_max,support_y_min,support_y_max,support_polygon_xy,com_signed_distance,com_inside_support,left_sole_roll,left_sole_pitch,right_sole_roll,right_sole_pitch,sole_tilt_max,candidate_valid
-0.128,0.0,0.124,0.25203174403237383,-0.758,0.15,-0.786,0.758,-0.15,0.786,-0.0002908014741612174,-0.021736155729672274,0.34271634080579605,-0.14216074406571794,0.14130829610770407,-0.02269148301492157,0.1374202276247034,"-0.142161,+0.137307;-0.142097,-0.022691;+0.141244,-0.022614;+0.141308,+0.137384;+0.051308,+0.137420",0.0009167471460658335,1,-0.003977314101500014,-5.941140665745706e-07,-0.003979142735687373,1.190274602677436e-06,0.003979142735687373,1
-0.128,-0.004,0.124,0.2520952201054197,-0.758,0.146,-0.786,0.758,-0.146,0.786,-0.00029079843277367057,-0.02182012582744655,0.3426828918502578,-0.1422479233419899,0.141395534983983,-0.023473187611935425,0.1366708683486412,"-0.142248,+0.136522;-0.142120,-0.023473;+0.141268,-0.023396;+0.141396,+0.136599;+0.051396,+0.136671;-0.052248,+0.136594",0.0016143620864438497,1,-0.007957324137662413,-3.0058948849732137e-06,-0.007959164516041423,3.5863459913128647e-06,0.007959164516041423,1
-0.124,-0.004,0.128,0.2520952201054197,-0.754,0.146,-0.782,0.754,-0.146,0.782,-0.0002908016102753369,-0.021620910672757215,0.3426805255844304,-0.14210412305921655,0.14125169632234466,-0.021898958500285233,0.13817796085626585,"-0.142104,-0.021899;-0.052104,-0.021899;+0.141252,-0.021822;+0.141252,+0.138178;+0.051252,+0.138178;-0.142104,+0.138101",0.0002574358214908627,1,2.696580464437028e-06,2.2809336870342586e-07,8.796840944684558e-07,3.8330635785678735e-07,2.696580464437028e-06,1
-0.124,-0.008,0.128,0.25228555249954365,-0.754,0.142,-0.782,0.754,-0.142,0.782,-0.00029079857052957377,-0.02170482459924824,0.3426470057082063,-0.14219144248842033,0.1413390259216622,-0.022680202216213093,0.13743156531916761,"-0.142191,+0.137319;-0.142128,-0.022680;+0.141275,-0.022603;+0.141339,+0.137396;+0.051339,+0.137432",0.0009367690134091673,1,-0.003977314101500237,-5.941140666548125e-07,-0.0039791427356872635,1.19027460247079e-06,0.0039791427356872635,1
-0.112,-0.028,0.136,0.25228555249954365,-0.742,0.122,-0.774,0.742,-0.122,0.774,-0.0002907922508354091,-0.02154375020015535,0.3424616352316816,-0.14226993976090302,0.14141758967360624,-0.02227779834116627,0.13783407959746702,"-0.142270,+0.137721;-0.142206,-0.022278;+0.141354,-0.022201;+0.141418,+0.137798;+0.051418,+0.137834",0.0006953843197587937,1,-0.003977314101500014,-5.941140665755599e-07,-0.0039791427356874855,1.1902746026953216e-06,0.0039791427356874855,1
-0.124,-0.012,0.128,0.2526024544615511,-0.754,0.13799999999999998,-0.782,0.754,-0.13799999999999998,0.782,-0.0002907955311240294,-0.021788872606955167,0.34261382007814717,-0.14227847568271804,0.14142611869799573,-0.02346239491106457,0.13668171705170362,"-0.142278,+0.136532;-0.142151,-0.023462;+0.141298,-0.023385;+0.141426,+0.136610;+0.051426,+0.136682;-0.052279,+0.136604",0.0016347945888548472,1,-0.007957324137661747,-3.0058948845901088e-06,-0.007959164516041312,3.586345991392092e-06,0.007959164516041312,1
-0.12,-0.012,0.132,0.25285569006846575,-0.75,0.13799999999999998,-0.778,0.75,-0.13799999999999998,0.778,-0.00029079871271117923,-0.021589380028794694,0.3426115787527527,-0.14213467084229683,0.14128227544987937,-0.02188694157549674,0.13819003468287888,"-0.142135,-0.021887;-0.052135,-0.021887;+0.141282,-0.021810;+0.141282,+0.138190;+0.051282,+0.138190;-0.142135,+0.138113",0.0002769286515720667,1,2.6965804645483196e-06,2.280933683699253e-07,8.796840948016387e-07,3.833063580060821e-07,2.6965804645483196e-06,1
-0.104,-0.04,0.14,0.2530454504629554,-0.734,0.10999999999999999,-0.77,0.734,-0.10999999999999999,0.77,-0.0002907888531545169,-0.021413425061689226,0.3423467746727331,-0.14231728282581232,0.14146496768468697,-0.02188452782207128,0.13822740364060362,"-0.142317,+0.138114;-0.142253,-0.021885;+0.141401,-0.021807;+0.141465,+0.138192;+0.051465,+0.138227",0.00043241217746553827,1,-0.003977314101500014,-5.941140664175762e-07,-0.003979142735687152,1.190274602452796e-06,0.003979142735687152,1
-0.112,-0.032,0.136,0.25323506866151063,-0.742,0.118,-0.774,0.742,-0.118,0.774,-0.00029078921550647476,-0.021627950848865724,0.34242897717228693,-0.14235668021238698,0.14150438966987153,-0.02306094965045958,0.137083270925723,"-0.142357,+0.136934;-0.142229,-0.023061;+0.141377,-0.022983;+0.141504,+0.137011;+0.051504,+0.137083;-0.052357,+0.137006",0.0013942167644051939,1,-0.007957324137661858,-3.0058948849043093e-06,-0.0079591645160412,3.5863459912936404e-06,0.0079591645160412,1
-0.12,-0.016,0.132,0.253298243183801,-0.75,0.134,-0.778,0.75,-0.134,0.778,-0.0002907956749474107,-0.021673371865218376,0.3425783222020077,-0.14222184418952627,0.14136945894925151,-0.022668673389262303,0.13744315015437872,"-0.142222,+0.137330;-0.142158,-0.022669;+0.141306,-0.022591;+0.141369,+0.137407;+0.051369,+0.137443",0.0009566649002195035,1,-0.003977314101500349,-5.941140664366029e-07,-0.0039791427356871524,1.1902746027075258e-06,0.0039791427356871524,1
-0.12,-0.02,0.132,0.2538661064419589,-0.75,0.13,-0.778,0.75,-0.13,0.778,-0.0002907926375614142,-0.02175749672364721,0.3425454002054024,-0.14230873110811454,0.14145640543146687,-0.023451348324112227,0.136692818752444,"-0.142309,+0.136544;-0.142181,-0.023451;+0.141329,-0.023374;+0.141456,+0.136621;+0.051456,+0.136693;-0.052309,+0.136615",0.0016550963125588646,1,-0.00795732413766175,-3.0058948846775535e-06,-0.007959164516041312,3.586345991461723e-06,0.007959164516041312,1
-0.108,-0.032,0.14,0.25411808278829745,-0.738,0.118,-0.77,0.738,-0.118,0.77,-0.00029079241127176334,-0.021427716476453088,0.3424273777948109,-0.14221271444942934,0.14136038539568951,-0.021482365622639214,0.13859472105726559,"-0.142213,-0.021482;-0.052213,-0.021482;+0.141360,-0.021405;+0.141360,+0.138595;+0.051360,+0.138595;-0.142213,+0.138518",3.3972259056699506e-05,1,2.696580464215419e-06,2.2809336816425228e-07,8.796840944686759e-07,3.8330635814236605e-07,2.696580464215419e-06,1
-0.116,-0.02,0.136,0.25436980952935434,-0.746,0.13,-0.774,0.746,-0.13,0.774,-0.0002907958232052844,-0.02155772934368018,0.342543284303426,-0.1421649216110894,0.14131255749828997,-0.021874682664766124,0.1382023496079503,"-0.142165,-0.021875;-0.052165,-0.021875;+0.141313,-0.021798;+0.141312,+0.138202;+0.051312,+0.138202;-0.142165,+0.138125",0.0002962998248862642,1,2.6965804642151176e-06,2.2809336853645878e-07,8.796840945797664e-07,3.8330635823007816e-07,2.6965804642151176e-06,1
-0.116,-0.024,0.136,0.25506077707087776,-0.746,0.126,-0.774,0.746,-0.126,0.774,-0.0002907927874610586,-0.021641798030825776,0.3425102913861349,-0.14225194868260935,0.14139959470354405,-0.02265689671853021,0.13745498194497957,"-0.142252,+0.137342;-0.142188,-0.022657;+0.141336,-0.022580;+0.141400,+0.137419;+0.051400,+0.137455",0.0009764344881626855,1,-0.003977314101500236,-5.941140668098296e-07,-0.0039791427356872635,1.190274602628665e-06,0.0039791427356872635,1
-0.108,-0.036,0.14,0.2551862065237853,-0.738,0.11399999999999999,-0.77,0.738,-0.11399999999999999,0.77,-0.0002907893775846101,-0.02151186095388023,0.3423946488147304,-0.1422995950538451,0.1414472761149934,-0.022265056050846742,0.13784687612448548,"-0.142300,+0.137734;-0.142236,-0.022265;+0.141383,-0.022188;+0.141447,+0.137811;+0.051447,+0.137847",0.0007145041419211783,1,-0.003977314101500236,-5.94114066651846e-07,-0.0039791427356874855,1.190274602697082e-06,0.0039791427356874855,1
-0.116,-0.028,0.136,0.2558749694675116,-0.746,0.122,-0.774,0.746,-0.122,0.774,-0.0002907897521321347,-0.021725998679536156,0.34247763332674025,-0.1423386891340934,0.1414863946998092,-0.023440048027823603,0.13670417327323547,"-0.142339,+0.136555;-0.142211,-0.023440;+0.141359,-0.023363;+0.141486,+0.136632;+0.051486,+0.136704;-0.052339,+0.136627",0.0016752669327282877,1,-0.007957324137662192,-3.005894884590014e-06,-0.007959164516041202,3.586345991568668e-06,0.007959164516041202,1
