time,com_x,com_y,com_z,base_x,base_y,base_z,base_roll,base_pitch,base_yaw,support_x_min,support_x_max,support_y_min,support_y_max,com_inside_support,left_contact,right_contact,support_point_count,left_fx,left_fy,left_fz,right_fx,right_fy,right_fz,left_contact_x_mean,left_contact_y_mean,right_contact_x_mean,right_contact_y_mean,right_minus_left_fz,left_force_age,right_force_age,left_force_stale,right_force_stale,com_support_signed_distance,source_sim_time,pose_updated
0.37,0.0033357764096065973,-0.1156138099538934,0.3403211316927375,0.007493497864269059,-0.1071079443859107,0.4145391805830853,0.23348830877952104,0.012051630678040496,-0.3397948435496855,-0.11441939696094292,0.209203710410858,-0.09977457249330915,0.13622877255425836,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.061840067896917095,0.357,0
0.38,-0.0002582312204267402,-0.12253825994279333,0.33874501468449253,0.0036088248649975303,-0.11522554833172514,0.4131124501520771,0.2479552950120309,0.012954460940100419,-0.3529246671336497,-0.1144668508343044,0.2094705366020506,-0.10342552966203944,0.13446905133982381,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.06716594804220552,0.374,1
0.39,-0.0002582312204267402,-0.12253825994279333,0.33874501468449253,0.0036088248649975303,-0.11522554833172514,0.4131124501520771,0.2479552950120309,0.012954460940100419,-0.3529246671336497,-0.1144668508343044,0.2094705366020506,-0.10342552966203944,0.13446905133982381,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.06716594804220552,0.374,0
0.4,-0.004384507511060693,-0.1299363283549063,0.3376416807797988,-0.0007377079584503724,-0.12382709604592762,0.41212317357661565,0.2657527346332882,0.013960315861388147,-0.3650605953410969,-0.11575970786514003,0.20807862438318342,-0.10753616281323411,0.13220362746771713,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.07245404131419883,0.391,1
0.41000000000000003,-0.009027384537823344,-0.13788347052356845,0.336638575866137,-0.005823176962715967,-0.1329546393703082,0.41121947362091477,0.28036577472356256,0.014164415322550337,-0.37751916316172823,-0.11667470764606949,0.20804371687647477,-0.11246855352518195,0.12933294677570334,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.07797852070854074,0.40800000000000003,1
0.42,-0.009027384537823344,-0.13788347052356845,0.336638575866137,-0.005823176962715967,-0.1329546393703082,0.41121947362091477,0.28036577472356256,0.014164415322550337,-0.37751916316172823,-0.11667470764606949,0.20804371687647477,-0.11246855352518195,0.12933294677570334,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.07797852070854074,0.40800000000000003,0
0.43,-0.013955836753896955,-0.14612476615750636,0.33483089656250137,-0.011106986920405931,-0.1424525190456032,0.40948538890388153,0.29912295952931073,0.015501403388642908,-0.3891906208877136,-0.1180544139252631,0.20616773270582545,-0.1171516386013568,0.126210328069627,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.08361328275866743,0.425,1
0.44,-0.013955836753896955,-0.14612476615750636,0.33483089656250137,-0.011106986920405931,-0.1424525190456032,0.40948538890388153,0.29912295952931073,0.015501403388642908,-0.3891906208877136,-0.1180544139252631,0.20616773270582545,-0.1171516386013568,0.126210328069627,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.08361328275866743,0.425,0
0.45,-0.019262703537135408,-0.15478468471261952,0.33305425631674024,-0.017017726759893468,-0.15258150677173296,0.4077858465344523,0.31829681559442025,0.016176469120412183,-0.39817253467622304,-0.11930538349118948,0.20516001099300063,-0.1209411176587313,0.12323784707324906,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.09050617760388183,0.442,1
0.46,-0.025006959121363376,-0.16405191520763718,0.33115949858935345,-0.02330967426511407,-0.1632911740824869,0.405932201576872,0.3405166229287759,0.015339494444740153,-0.40858080187075074,-0.12084034867491686,0.20261434204413886,-0.12564737167678863,0.1194750976744864,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,-0.09712030575112886,0.459,1
