frame,RL1_wrap,RL5_wrap,LL1_wrap,LL5_wrap
306,1.019550000000001,-1.019550000000001,1.075380000000001,-1.075380000000001
307,1.069550000000001,-1.069550000000001,1.125380000000001,-1.125380000000001
308,1.1195500000000012,-1.1195500000000012,1.175380000000001,-1.175380000000001
309,1.1695500000000012,-1.1695500000000012,1.225380000000001,-1.225380000000001
310,1.2195500000000012,-1.2195500000000012,1.275380000000001,-1.275380000000001
311,1.2695500000000013,-1.2695500000000013,1.3253800000000011,-1.3253800000000011
312,1.3195500000000013,-1.3195500000000013,1.3753800000000012,-1.3753800000000012
313,1.3695500000000014,-1.3695500000000014,1.4253800000000012,-1.4253800000000012
314,1.4195500000000014,-1.4195500000000014,1.4753800000000012,-1.4753800000000012
315,1.43049,-1.43049,1.5253800000000013,-1.5253800000000013
316,1.42747,-1.42747,1.5753800000000013,-1.5753800000000013
317,1.42393,-1.42393,1.6253800000000014,-1.6253800000000014
318,1.41975,-1.41975,1.65711,-1.65711
319,1.41474,-1.41474,1.62906,-1.62906
320,1.40868,-1.40868,1.59986,-1.59986
321,1.4013,-1.4013,1.56944,-1.56944
322,1.39233,-1.39233,1.53766,-1.53766
323,1.38147,-1.38147,1.50431,-1.50431
324,1.36829,-1.36829,1.46915,-1.46916
325,1.35224,-1.35224,1.43187,-1.43187
326,1.33255,-1.33255,1.392,-1.392
327,1.30814,-1.30814,1.34893,-1.34893
328,1.27743,-1.27743,1.30174,-1.30174
329,1.23805,-1.23805,1.2517399999999999,-1.2517399999999999
330,1.18805,-1.18805,1.2017399999999998,-1.2017399999999998
331,1.13805,-1.13805,1.1517399999999998,-1.1517399999999998
332,1.08805,-1.08805,1.1017399999999997,-1.1017399999999997
333,1.03805,-1.03805,1.0517399999999997,-1.0517399999999997
334,0.9880499999999999,-0.9880499999999999,1.0017399999999996,-1.0017399999999996
335,0.9380499999999998,-0.9380499999999998,0.9517399999999996,-0.9517399999999996
336,0.8880499999999998,-0.8880499999999998,0.9017399999999995,-0.9017399999999995
337,0.8380499999999997,-0.8380499999999997,0.8517399999999995,-0.8517399999999995
338,0.7880499999999997,-0.7880499999999997,0.8017399999999995,-0.8017399999999995
339,0.7380499999999997,-0.7380499999999997,0.7517399999999994,-0.7517399999999994
340,0.6880499999999996,-0.6880499999999996,0.7017399999999994,-0.7017399999999994
341,0.6380499999999996,-0.6380499999999996,0.6517399999999993,-0.6517399999999993
342,0.5880499999999995,-0.5880499999999995,0.6017399999999993,-0.6017399999999993
343,0.5380499999999995,-0.5380499999999995,0.5517399999999992,-0.5517399999999992
344,0.4880499999999995,-0.4880499999999995,0.5017399999999992,-0.5017399999999992
345,0.4380499999999995,-0.4380499999999995,0.4517399999999992,-0.4517399999999992
346,0.3880499999999995,-0.3880499999999995,0.4017399999999992,-0.4017399999999992
347,0.3380499999999995,-0.3380499999999995,0.3517399999999992,-0.3517399999999992
348,0.28804999999999953,-0.28804999999999953,0.30173999999999923,-0.30173999999999923
349,0.23804999999999954,-0.23804999999999954,0.25173999999999924,-0.25173999999999924
350,0.18804999999999955,-0.18804999999999955,0.20173999999999925,-0.20173999999999925
351,0.13804999999999956,-0.13804999999999956,0.15173999999999926,-0.15173999999999926
352,0.08804999999999956,-0.08804999999999956,0.10173999999999926,-0.10173999999999926
353,0.038049999999999556,-0.038049999999999556,0.05173999999999926,-0.05173999999999926
354,-0.011950000000000446,0.011950000000000446,0.001739999999999256,-0.001739999999999256
355,-0.06195000000000045,0.06195000000000045,-0.04826000000000075,0.04826000000000075
356,-0.11195000000000045,0.11195000000000045,-0.09826000000000075,0.09826000000000075
357,-0.16195000000000045,0.16195000000000045,-0.14826000000000075,0.14826000000000075
358,-0.21195000000000047,0.21195000000000047,-0.19826000000000077,0.19826000000000077
359,-0.26195000000000046,0.26195000000000046,-0.24826000000000076,0.24826000000000076
360,-0.31195000000000045,0.31195000000000045,-0.29826000000000075,0.29826000000000075
361,-0.36195000000000044,0.36195000000000044,-0.34826000000000074,0.34826000000000074
362,-0.4119500000000004,0.4119500000000004,-0.3982600000000007,0.3982600000000007
363,-0.4619500000000004,0.4619500000000004,-0.4482600000000007,0.4482600000000007
364,-0.5119500000000005,0.5119500000000005,-0.4982600000000007,0.4982600000000007
365,-0.5619500000000005,0.5619500000000005,-0.5482600000000007,0.5482600000000007
366,-0.6119500000000005,0.6119500000000005,-0.5982600000000008,0.5982600000000008
367,-0.6619500000000006,0.6619500000000006,-0.6482600000000008,0.6482600000000008
368,-0.7119500000000006,0.7119500000000006,-0.6982600000000009,0.6982600000000009
369,-0.7619500000000007,0.7619500000000007,-0.7482600000000009,0.7482600000000009
370,-0.8119500000000007,0.8119500000000007,-0.798260000000001,0.798260000000001
371,-0.8619500000000008,0.8619500000000008,-0.848260000000001,0.848260000000001
372,-0.9119500000000008,0.9119500000000008,-0.8982600000000011,0.8982600000000011
373,-0.9619500000000009,0.9619500000000009,-0.9482600000000011,0.9482600000000011
374,-1.0119500000000008,1.0119500000000008,-0.9982600000000011,0.9982600000000011
375,-1.0619500000000008,1.0619500000000008,-1.048260000000001,1.048260000000001
376,-1.1119500000000009,1.1119500000000009,-1.0982600000000011,1.0982600000000011
377,-1.161950000000001,1.161950000000001,-1.1482600000000012,1.1482600000000012
378,-1.211950000000001,1.211950000000001,-1.1982600000000012,1.1982600000000012
379,-1.261950000000001,1.261950000000001,-1.2482600000000013,1.2482600000000013
380,-1.311950000000001,1.311950000000001,-1.2982600000000013,1.2982600000000013
381,-1.361950000000001,1.361950000000001,-1.3482600000000013,1.3482600000000013
382,-1.4119500000000011,1.4119500000000011,-1.3982600000000014,1.3982600000000014
383,-1.4619500000000012,1.4619500000000012,-1.41516,1.41516
384,-1.5119500000000012,1.5119500000000012,-1.41105,1.41105
385,-1.5619500000000013,1.5619500000000013,-1.40615,1.40615
386,-1.6119500000000013,1.6119500000000013,-1.40025,1.40025
387,-1.61989,1.61989,-1.39305,1.39305
388,-1.58662,1.58662,-1.38421,1.38421
389,-1.55135,1.55135,-1.37337,1.37337
390,-1.51368,1.51368,-1.36009,1.36009
391,-1.47314,1.47314,-1.34374,1.34375
392,-1.42904,1.42904,-1.32352,1.32352
393,-1.38045,1.38045,-1.29821,1.29821
394,-1.33045,1.33045,-1.26606,1.26606
395,-1.2804499999999999,1.2804499999999999,-1.22442,1.22442
396,-1.2304499999999998,1.2304499999999998,-1.17442,1.17442
397,-1.1804499999999998,1.1804499999999998,-1.12442,1.12442
398,-1.1304499999999997,1.1304499999999997,-1.07442,1.07442
399,-1.0804499999999997,1.0804499999999997,-1.0244199999999999,1.0244199999999999
400,-1.0304499999999996,1.0304499999999996,-0.9744199999999998,0.9744199999999998
401,-0.9804499999999996,0.9804499999999996,-0.9244199999999998,0.9244199999999998
402,-0.9304499999999996,0.9304499999999996,-0.8744199999999998,0.8744199999999998
403,-0.8804499999999995,0.8804499999999995,-0.8244199999999997,0.8244199999999997
404,-0.8304499999999995,0.8304499999999995,-0.7744199999999997,0.7744199999999997
405,-0.7804499999999994,0.7804499999999994,-0.7244199999999996,0.7244199999999996
406,-0.7304499999999994,0.7304499999999994,-0.6744199999999996,0.6744199999999996
407,-0.6804499999999993,0.6804499999999993,-0.6244199999999995,0.6244199999999995
408,-0.6304499999999993,0.6304499999999993,-0.5744199999999995,0.5744199999999995
409,-0.5804499999999992,0.5804499999999992,-0.5244199999999994,0.5244199999999994
410,-0.5304499999999992,0.5304499999999992,-0.47441999999999945,0.47441999999999945
411,-0.4804499999999992,0.4804499999999992,-0.42441999999999946,0.42441999999999946
412,-0.4304499999999992,0.4304499999999992,-0.3744199999999995,0.3744199999999995
413,-0.38044999999999923,0.38044999999999923,-0.3244199999999995,0.3244199999999995
414,-0.33044999999999924,0.33044999999999924,-0.2744199999999995,0.2744199999999995
415,-0.28044999999999926,0.28044999999999926,-0.2244199999999995,0.2244199999999995
416,-0.23044999999999927,0.23044999999999927,-0.17441999999999952,0.17441999999999952
417,-0.18044999999999928,0.18044999999999928,-0.12441999999999952,0.12441999999999952
418,-0.1304499999999993,0.1304499999999993,-0.07441999999999951,0.07441999999999951
