frame,RL1_wrap_original,RL1_wrap_rate005,RL1_wrap_diff,RL5_wrap_original,RL5_wrap_rate005,RL5_wrap_diff,LL1_wrap_original,LL1_wrap_rate005,LL1_wrap_diff,LL5_wrap_original,LL5_wrap_rate005,LL5_wrap_diff
134,0.724752,-0.8398699999999995,-1.5646219999999995,-0.72475,0.8398699999999995,1.5646199999999995,0.724752,-0.7929199999999996,-1.5176719999999997,-0.72475,0.7929199999999996,1.5176699999999996
135,0.908981,-0.7898699999999994,-1.6988509999999994,-0.908981,0.7898699999999994,1.6988509999999994,0.908981,-0.7429199999999996,-1.6519009999999996,-0.908981,0.7429199999999996,1.6519009999999996
136,1.03178,-0.7398699999999994,-1.7716499999999993,-1.03178,0.7398699999999994,1.7716499999999993,1.03178,-0.6929199999999995,-1.7246999999999995,-1.03178,0.6929199999999995,1.7246999999999995
137,1.1169,-0.6898699999999993,-1.8067699999999993,-1.1169,0.6898699999999993,1.8067699999999993,1.1169,-0.6429199999999995,-1.7598199999999995,-1.1169,0.6429199999999995,1.7598199999999995
138,1.1784,-0.6398699999999993,-1.8182699999999992,-1.1784,0.6398699999999993,1.8182699999999992,1.1784,-0.5929199999999994,-1.7713199999999993,-1.1784,0.5929199999999994,1.7713199999999993
139,1.22448,-0.5898699999999992,-1.8143499999999992,-1.22448,0.5898699999999992,1.8143499999999992,1.22448,-0.5429199999999994,-1.7673999999999994,-1.22448,0.5429199999999994,1.7673999999999994
140,1.26007,-0.5398699999999992,-1.7999399999999992,-1.26007,0.5398699999999992,1.7999399999999992,1.26007,-0.4929199999999994,-1.7529899999999994,-1.26007,0.4929199999999994,1.7529899999999994
141,1.28826,-0.4898699999999992,-1.778129999999999,-1.28826,0.4898699999999992,1.778129999999999,1.28825,-0.4429199999999994,-1.7311699999999992,-1.28825,0.4429199999999994,1.7311699999999992
142,1.31103,-0.4398699999999992,-1.7508999999999992,-1.31103,0.4398699999999992,1.7508999999999992,1.31121,-0.39291999999999944,-1.7041299999999995,-1.31121,0.39291999999999944,1.7041299999999995
143,1.32976,-0.3898699999999992,-1.7196299999999993,-1.32976,0.3898699999999992,1.7196299999999993,1.33397,-0.34291999999999945,-1.6768899999999995,-1.33397,0.34291999999999945,1.6768899999999995
144,1.34537,-0.33986999999999923,-1.6852399999999992,-1.34537,0.33986999999999923,1.6852399999999992,1.35816,-0.29291999999999946,-1.6510799999999994,-1.35816,0.29291999999999946,1.6510799999999994
145,1.35855,-0.28986999999999924,-1.648419999999999,-1.35855,0.28986999999999924,1.648419999999999,1.38368,-0.24291999999999947,-1.6265999999999994,-1.38368,0.24291999999999947,1.6265999999999994
146,1.36979,-0.23986999999999925,-1.6096599999999994,-1.36979,0.23986999999999925,1.6096599999999994,1.41037,-0.19291999999999948,-1.6032899999999994,-1.41037,0.19291999999999948,1.6032899999999994
147,1.37945,-0.18986999999999926,-1.5693199999999994,-1.37945,0.18986999999999926,1.5693199999999994,1.43806,-0.1429199999999995,-1.5809799999999994,-1.43806,0.1429199999999995,1.5809799999999994
148,1.38783,-0.13986999999999927,-1.5276999999999992,-1.38783,0.13986999999999927,1.5276999999999992,1.46657,-0.09291999999999949,-1.5594899999999994,-1.46657,0.09291999999999949,1.5594899999999994
149,1.39512,-0.08986999999999927,-1.4849899999999991,-1.39512,0.08986999999999927,1.4849899999999991,1.49567,-0.042919999999999486,-1.5385899999999995,-1.49567,0.042919999999999486,1.5385899999999995
150,1.40152,-0.03986999999999927,-1.4413899999999993,-1.40152,0.03986999999999927,1.4413899999999993,1.52514,0.0070800000000005164,-1.5180599999999995,-1.52514,-0.0070800000000005164,1.5180599999999995
151,1.40715,0.010130000000000736,-1.3970199999999993,-1.40715,-0.010130000000000736,1.3970199999999993,1.55474,0.05708000000000052,-1.4976599999999995,-1.55474,-0.05708000000000052,1.4976599999999995
152,1.41212,0.06013000000000074,-1.3519899999999994,-1.41212,-0.06013000000000074,1.3519899999999994,1.58421,0.10708000000000052,-1.4771299999999994,-1.58421,-0.10708000000000052,1.4771299999999994
153,1.41651,0.11013000000000074,-1.3063799999999992,-1.41651,-0.11013000000000074,1.3063799999999992,1.6133,0.15708000000000052,-1.4562199999999994,-1.6133,-0.15708000000000052,1.4562199999999994
154,1.42042,0.16013000000000074,-1.2602899999999992,-1.42042,-0.16013000000000074,1.2602899999999992,1.64177,0.20708000000000054,-1.4346899999999994,-1.64177,-0.20708000000000054,1.4346899999999994
155,1.42388,0.21013000000000076,-1.2137499999999992,-1.42388,-0.21013000000000076,1.2137499999999992,1.66936,0.25708000000000053,-1.4122799999999995,-1.66936,-0.25708000000000053,1.4122799999999995
156,1.42696,0.26013000000000075,-1.1668299999999991,-1.42696,-0.26013000000000075,1.1668299999999991,1.69585,0.3070800000000005,-1.3887699999999996,-1.69585,-0.3070800000000005,1.3887699999999996
157,1.42969,0.31013000000000074,-1.1195599999999992,-1.42969,-0.31013000000000074,1.1195599999999992,1.72104,0.3570800000000005,-1.3639599999999994,-1.72104,-0.3570800000000005,1.3639599999999994
158,1.43211,0.3601300000000007,-1.0719799999999993,-1.43211,-0.3601300000000007,1.0719799999999993,1.74472,0.4070800000000005,-1.3376399999999995,-1.74472,-0.4070800000000005,1.3376399999999995
159,1.43424,0.4101300000000007,-1.0241099999999992,-1.43424,-0.4101300000000007,1.0241099999999992,1.76672,0.4570800000000005,-1.3096399999999995,-1.76672,-0.4570800000000005,1.3096399999999995
160,1.43611,0.4601300000000007,-0.9759799999999993,-1.43611,-0.4601300000000007,0.9759799999999993,1.78692,0.5070800000000005,-1.2798399999999996,-1.78692,-0.5070800000000005,1.2798399999999996
161,1.43775,0.5101300000000007,-0.9276199999999993,-1.43775,-0.5101300000000007,0.9276199999999993,1.80517,0.5570800000000006,-1.2480899999999995,-1.80517,-0.5570800000000006,1.2480899999999995
162,1.43916,0.5601300000000008,-0.8790299999999992,-1.43916,-0.5601300000000008,0.8790299999999992,1.82138,0.6070800000000006,-1.2142999999999993,-1.82138,-0.6070800000000006,1.2142999999999993
163,1.44036,0.6101300000000008,-0.8302299999999992,-1.44036,-0.6101300000000008,0.8302299999999992,1.83547,0.6570800000000007,-1.1783899999999994,-1.83547,-0.6570800000000007,1.1783899999999994
164,1.44136,0.6601300000000009,-0.7812299999999991,-1.44136,-0.6601300000000009,0.7812299999999991,1.84736,0.7070800000000007,-1.1402799999999993,-1.84737,-0.7070800000000007,1.1402899999999994
165,1.44217,0.7101300000000009,-0.732039999999999,-1.44217,-0.7101300000000009,0.732039999999999,1.85703,0.7570800000000008,-1.0999499999999993,-1.85703,-0.7570800000000008,1.0999499999999993
166,1.44279,0.760130000000001,-0.682659999999999,-1.44279,-0.760130000000001,0.682659999999999,1.86441,0.8070800000000008,-1.057329999999999,-1.86441,-0.8070800000000008,1.057329999999999
167,1.44324,0.810130000000001,-0.6331099999999991,-1.44324,-0.810130000000001,0.6331099999999991,1.86951,0.8570800000000008,-1.0124299999999993,-1.86951,-0.8570800000000008,1.0124299999999993
168,1.44351,0.8601300000000011,-0.583379999999999,-1.44351,-0.8601300000000011,0.583379999999999,1.8723,0.9070800000000009,-0.9652199999999992,-1.8723,-0.9070800000000009,0.9652199999999992
169,1.4436,0.9101300000000011,-0.5334699999999989,-1.4436,-0.9101300000000011,0.5334699999999989,1.87277,0.9570800000000009,-0.9156899999999991,-1.87277,-0.9570800000000009,0.9156899999999991
170,1.4435,0.9601300000000011,-0.48336999999999886,-1.4435,-0.9601300000000011,0.48336999999999886,1.87095,1.0070800000000009,-0.863869999999999,-1.87095,-1.0070800000000009,0.863869999999999
171,1.44323,1.010130000000001,-0.43309999999999893,-1.44323,-1.010130000000001,0.43309999999999893,1.86684,1.057080000000001,-0.8097599999999991,-1.86684,-1.057080000000001,0.8097599999999991
172,1.44276,1.0601300000000011,-0.3826299999999989,-1.44276,-1.0601300000000011,0.3826299999999989,1.86046,1.107080000000001,-0.753379999999999,-1.86046,-1.107080000000001,0.753379999999999
